,Article_ID,Error
19,105302,"The MW API does not have any info related to the rev-id provided as input (105302), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
20,105628,"The MW API does not have any info related to the rev-id provided as input (105628), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
21,105278,"The MW API does not have any info related to the rev-id provided as input (105278), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
22,105599,"The MW API does not have any info related to the rev-id provided as input (105599), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
23,105211,"The MW API does not have any info related to the rev-id provided as input (105211), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
24,105282,"The MW API does not have any info related to the rev-id provided as input (105282), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
25,106717,"The MW API does not have any info related to the rev-id provided as input (106717), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
26,57180,"The MW API does not have any info related to the rev-id provided as input (57180), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
27,107215,"The MW API does not have any info related to the rev-id provided as input (107215), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
28,107071,"The MW API does not have any info related to the rev-id provided as input (107071), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
29,107185,"The MW API does not have any info related to the rev-id provided as input (107185), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
30,107236,"The MW API does not have any info related to the rev-id provided as input (107236), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
31,107273,"The MW API does not have any info related to the rev-id provided as input (107273), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
32,106814,"The MW API does not have any info related to the rev-id provided as input (106814), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
33,107246,"The MW API does not have any info related to the rev-id provided as input (107246), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
34,106903,"The MW API does not have any info related to the rev-id provided as input (106903), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
35,107264,"The MW API does not have any info related to the rev-id provided as input (107264), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
36,107164,"The MW API does not have any info related to the rev-id provided as input (107164), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
37,18520327,"The MW API does not have any info related to the rev-id provided as input (18520327), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
38,106845,"The MW API does not have any info related to the rev-id provided as input (106845), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
39,106828,"The MW API does not have any info related to the rev-id provided as input (106828), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
40,106848,"The MW API does not have any info related to the rev-id provided as input (106848), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
41,107106,"The MW API does not have any info related to the rev-id provided as input (107106), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
42,107081,"The MW API does not have any info related to the rev-id provided as input (107081), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
43,106912,"The MW API does not have any info related to the rev-id provided as input (106912), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
44,106821,"The MW API does not have any info related to the rev-id provided as input (106821), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
45,107805,"The MW API does not have any info related to the rev-id provided as input (107805), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
46,108203,"The MW API does not have any info related to the rev-id provided as input (108203), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
47,63816,"The MW API does not have any info related to the rev-id provided as input (63816), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
48,107965,"The MW API does not have any info related to the rev-id provided as input (107965), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
49,108271,"The MW API does not have any info related to the rev-id provided as input (108271), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
50,21985451,"The MW API does not have any info related to the rev-id provided as input (21985451), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
51,108079,"The MW API does not have any info related to the rev-id provided as input (108079), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
52,26661212,"The MW API does not have any info related to the rev-id provided as input (26661212), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
53,108240,"The MW API does not have any info related to the rev-id provided as input (108240), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
54,108095,"The MW API does not have any info related to the rev-id provided as input (108095), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
55,60341,"The MW API does not have any info related to the rev-id provided as input (60341), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
56,108081,"The MW API does not have any info related to the rev-id provided as input (108081), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
57,107852,"The MW API does not have any info related to the rev-id provided as input (107852), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
58,108016,"The MW API does not have any info related to the rev-id provided as input (108016), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
59,107678,"The MW API does not have any info related to the rev-id provided as input (107678), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
60,108096,"The MW API does not have any info related to the rev-id provided as input (108096), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
61,6024874,"The MW API does not have any info related to the rev-id provided as input (6024874), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
62,28208,"The MW API does not have any info related to the rev-id provided as input (28208), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
63,107788,"The MW API does not have any info related to the rev-id provided as input (107788), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
64,107836,"The MW API does not have any info related to the rev-id provided as input (107836), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
65,108560,"The MW API does not have any info related to the rev-id provided as input (108560), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
66,108353,"The MW API does not have any info related to the rev-id provided as input (108353), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
67,108547,"The MW API does not have any info related to the rev-id provided as input (108547), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
68,107840,"The MW API does not have any info related to the rev-id provided as input (107840), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
69,108508,"The MW API does not have any info related to the rev-id provided as input (108508), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
70,108561,"The MW API does not have any info related to the rev-id provided as input (108561), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
71,108493,"The MW API does not have any info related to the rev-id provided as input (108493), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
72,108502,"The MW API does not have any info related to the rev-id provided as input (108502), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
73,108494,"The MW API does not have any info related to the rev-id provided as input (108494), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
74,108588,"The MW API does not have any info related to the rev-id provided as input (108588), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
75,108516,"The MW API does not have any info related to the rev-id provided as input (108516), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
76,108591,"The MW API does not have any info related to the rev-id provided as input (108591), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
77,108496,"The MW API does not have any info related to the rev-id provided as input (108496), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
78,108509,"The MW API does not have any info related to the rev-id provided as input (108509), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
79,108503,"The MW API does not have any info related to the rev-id provided as input (108503), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
80,108510,"The MW API does not have any info related to the rev-id provided as input (108510), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
81,108511,"The MW API does not have any info related to the rev-id provided as input (108511), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
82,26893809,"The MW API does not have any info related to the rev-id provided as input (26893809), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
83,108517,"The MW API does not have any info related to the rev-id provided as input (108517), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
84,108490,"The MW API does not have any info related to the rev-id provided as input (108490), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
85,108522,"The MW API does not have any info related to the rev-id provided as input (108522), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
86,108406,"The MW API does not have any info related to the rev-id provided as input (108406), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
87,108518,"The MW API does not have any info related to the rev-id provided as input (108518), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
88,108519,"The MW API does not have any info related to the rev-id provided as input (108519), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
89,108504,"The MW API does not have any info related to the rev-id provided as input (108504), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
90,108362,"The MW API does not have any info related to the rev-id provided as input (108362), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
91,108441,"The MW API does not have any info related to the rev-id provided as input (108441), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
92,108505,"The MW API does not have any info related to the rev-id provided as input (108505), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
93,108499,"The MW API does not have any info related to the rev-id provided as input (108499), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
94,108544,"The MW API does not have any info related to the rev-id provided as input (108544), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
95,108507,"The MW API does not have any info related to the rev-id provided as input (108507), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
96,108434,"The MW API does not have any info related to the rev-id provided as input (108434), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
97,108608,"The MW API does not have any info related to the rev-id provided as input (108608), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
98,108546,"The MW API does not have any info related to the rev-id provided as input (108546), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
99,108524,"The MW API does not have any info related to the rev-id provided as input (108524), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
100,108435,"The MW API does not have any info related to the rev-id provided as input (108435), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
101,96993,"The MW API does not have any info related to the rev-id provided as input (96993), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
102,108500,"The MW API does not have any info related to the rev-id provided as input (108500), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
103,108515,"The MW API does not have any info related to the rev-id provided as input (108515), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104,108688,"The MW API does not have any info related to the rev-id provided as input (108688), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
105,108958,"The MW API does not have any info related to the rev-id provided as input (108958), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
106,109217,"The MW API does not have any info related to the rev-id provided as input (109217), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
107,108922,"The MW API does not have any info related to the rev-id provided as input (108922), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
108,20107027,"The MW API does not have any info related to the rev-id provided as input (20107027), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
109,109531,"The MW API does not have any info related to the rev-id provided as input (109531), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
110,109434,"The MW API does not have any info related to the rev-id provided as input (109434), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
111,108993,"The MW API does not have any info related to the rev-id provided as input (108993), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
112,109674,"The MW API does not have any info related to the rev-id provided as input (109674), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
113,60613,"The MW API does not have any info related to the rev-id provided as input (60613), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
114,56902510,"The MW API does not have any info related to the rev-id provided as input (56902510), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
115,109604,"The MW API does not have any info related to the rev-id provided as input (109604), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
116,109606,"The MW API does not have any info related to the rev-id provided as input (109606), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
117,109450,"The MW API does not have any info related to the rev-id provided as input (109450), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
118,109723,"The MW API does not have any info related to the rev-id provided as input (109723), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
119,109679,"The MW API does not have any info related to the rev-id provided as input (109679), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
120,109003,"The MW API does not have any info related to the rev-id provided as input (109003), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
121,109006,"The MW API does not have any info related to the rev-id provided as input (109006), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
122,109688,"The MW API does not have any info related to the rev-id provided as input (109688), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
123,109689,"The MW API does not have any info related to the rev-id provided as input (109689), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
124,110432,"The MW API does not have any info related to the rev-id provided as input (110432), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
125,109690,"The MW API does not have any info related to the rev-id provided as input (109690), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
126,109633,"The MW API does not have any info related to the rev-id provided as input (109633), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
127,110206,"The MW API does not have any info related to the rev-id provided as input (110206), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
128,109890,"The MW API does not have any info related to the rev-id provided as input (109890), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
129,110196,"The MW API does not have any info related to the rev-id provided as input (110196), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
130,110197,"The MW API does not have any info related to the rev-id provided as input (110197), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
131,109855,"The MW API does not have any info related to the rev-id provided as input (109855), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
132,110136,"The MW API does not have any info related to the rev-id provided as input (110136), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
133,2321072,"The MW API does not have any info related to the rev-id provided as input (2321072), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
134,110161,"The MW API does not have any info related to the rev-id provided as input (110161), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
135,110246,"The MW API does not have any info related to the rev-id provided as input (110246), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
136,110056,"The MW API does not have any info related to the rev-id provided as input (110056), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
137,110210,"The MW API does not have any info related to the rev-id provided as input (110210), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
138,110100,"The MW API does not have any info related to the rev-id provided as input (110100), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
139,110009,"The MW API does not have any info related to the rev-id provided as input (110009), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
140,110180,"The MW API does not have any info related to the rev-id provided as input (110180), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
141,110172,"The MW API does not have any info related to the rev-id provided as input (110172), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
142,110405,"The MW API does not have any info related to the rev-id provided as input (110405), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
143,110156,"The MW API does not have any info related to the rev-id provided as input (110156), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
144,110436,"The MW API does not have any info related to the rev-id provided as input (110436), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
145,110099,"The MW API does not have any info related to the rev-id provided as input (110099), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
146,110138,"The MW API does not have any info related to the rev-id provided as input (110138), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
147,110395,"The MW API does not have any info related to the rev-id provided as input (110395), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
148,110420,"The MW API does not have any info related to the rev-id provided as input (110420), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
149,110152,"The MW API does not have any info related to the rev-id provided as input (110152), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
150,110194,"The MW API does not have any info related to the rev-id provided as input (110194), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
151,110211,"The MW API does not have any info related to the rev-id provided as input (110211), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
152,110213,"The MW API does not have any info related to the rev-id provided as input (110213), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
153,109879,"The MW API does not have any info related to the rev-id provided as input (109879), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
154,109911,"The MW API does not have any info related to the rev-id provided as input (109911), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
155,110131,"The MW API does not have any info related to the rev-id provided as input (110131), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
156,110164,"The MW API does not have any info related to the rev-id provided as input (110164), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
157,110195,"The MW API does not have any info related to the rev-id provided as input (110195), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
158,26663904,"The MW API does not have any info related to the rev-id provided as input (26663904), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
159,110387,"The MW API does not have any info related to the rev-id provided as input (110387), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
160,110427,"The MW API does not have any info related to the rev-id provided as input (110427), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
